Exposure	Outcome	famr_none	famr_gfa	susie.ss	mrash.ss	susie.ss_gfa	mrash.ss_gfa	ivw	robust	ivw_gfa	robust_gfa	ivw.univar
Apolipoprotein B	Stroke	0.0950343517490811	0.196815843687395	0.00758843649315577	0.148698893226799	0.00700690548454674	0.0356274597034335	0.592915291060916	0.443359518879379	0.461866329142383	0.360600893649077	0.859248499657683
3-hydroxybutyrate	Stroke	0.0503546805622841	0.0245118784852324	0.000819400775920798	0.291938443741392	0.000765986899398663	0.0721980844482281	0.592915291060916	0.62626019392151	0.461866329142383	0.675081736616112	0.346708309447773
Citrate	Stroke	0.0491052113849026	0.014071977900628	0.00204703683854013	0.338361886192814	0.00192204697753506	0.0965432916679541	0.399196627451853	0.338925116678811	0.461866329142383	0.24699156453673	0.414747730789066
Creatinine	Stroke	0.106280787156043	0.0193908471107521	0.000532407142656566	0.179940206906456	0.000494500386603591	0.037329441396403	0.575463105570275	0.62626019392151	0.461866329142383	0.675081736616112	0.414747730789066
Glutamine	Stroke	0.0586051003416886	0.0164566471264559	0.000595966636889544	0.148796290800411	0.000549918147985662	0.0293411627582605	0.0494322283207024	0.0831260320487377	0.15664572679402	0.173949269790517	0.00757092079049404
Glucose	Stroke	0.0475948426610437	0.0143315026509093	0.000677732795852926	0.183259047472766	0.00062228057403857	0.0430238602102146	0.37087223673756	0.276063379654774	0.0483506211144434	0.108286445379274	0.414747730789066
Glycine	Stroke	0.0531706546853917	0.0172585702270628	0.000559664253952374	0.131671602647755	0.000511623306073794	0.0243324091839394	0.0494322283207024	0.10375716670628	0.0548597418746286	0.108286445379274	0.127527061959196
Glycoprotein acetylation	Stroke	0.0789773972665914	0.01655364562646	0.00146803627268666	0.422843002784789	0.00132344644771165	0.11217437195609	0.645478747806427	0.774663159195287	0.461866329142383	0.619564380990181	0.0256565072516762
Histidine	Stroke	0.0797677637075064	0.0175693041705949	0.00148377534053534	0.348629238156124	0.00146621881237596	0.104847700075197	0.592915291060916	0.264405868713823	0.280633629584842	0.13266732485013	0.414747730789066
Isoleucine	Stroke	0.0571686199877005	0.0333959401928622	0.000688435963620559	0.216990587363959	0.000613777611244148	0.055147644666535	0.109433603036892	0.096852721427803	0.0548597418746286	0.110820027098444	0.440475554850624
Lactate	Stroke	0.0464543136051	0.0159178987108145	0.000829258965804658	0.200127499773094	0.000760094624780994	0.0501829283765345	0.291941917219218	0.439828920291414	0.143379960825991	0.108286445379274	0.440475554850624
Leucine	Stroke	0.0663630275198099	0.0222432171478641	0.000689789398904295	0.217870504005061	0.000620907932884385	0.0572384341058789	0.388702241151637	0.264405868713823	0.248368834654254	0.173949269790517	0.414747730789066
Phenylalanine	Stroke	0.234858561440415	0.144265768700755	0.000669993967967186	0.178425819680504	0.000654159972072632	0.0426548924445017	0.0494322283207024	0.0831260320487377	0.0548597418746286	0.13266732485013	0.414747730789066
Polyunsaturated Fatty Acids (PUFA)	Stroke	0.0754198875763695	0.0171730448764095	0.000766350311664277	0.338509113500854	0.000673789477370068	0.109655096196837	0.302853605419798	0.22817937737126	0.0548597418746286	0.13266732485013	0.414747730789066
Pyruvate	Stroke	0.195094632358213	0.0165119570338329	0.000522988751230802	0.148836932231262	0.000484808963168715	0.0313288906631665	0.242138913819394	0.24435938906888	0.280633629584842	0.221019813921907	0.422524642302914
Tyrosine	Stroke	0.045477316853884	0.0258352245397473	0.000625963687676867	0.16483786391986	0.000592500939017304	0.0377778780608388	0.0494322283207024	0.0298225198174679	0.15664572679402	0.13266732485013	0.346708309447773
Valine	Stroke	0.0701757749628321	0.0141008379911393	0.00084919919047477	0.305733193451881	0.000762888689294194	0.0765536181451179	0.623704272747884	0.612497773538987	0.889114270483124	0.743970954776147	0.440475554850624
Birth Weight (BW)	Asthma	0.00871767671359791	2.98205904630811e-05	0.576662672643432	0.0398533401474358	0.525428883272514	2.15230945888045e-06	0.0170072732825411	0.17410612923824	0.00170947405067567	0.0300070731436605	0.113217622923811
Body Mass Index	Asthma	0.214900463235965	0.000136139366260335	0.615169689737963	0.0833857990713442	0.551501079447918	6.21235750208893e-06	0.501743842166101	0.215972920113828	0.00170947405067567	0.117315048246944	0.113217622923811
High Density Lipoprotein (HDL)	Asthma	0.0192213009426961	2.25386708453401e-05	0.559049453196289	0.0155663830249914	0.511721381097196	7.20953520993994e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.0762742225307651
Low Density Lipoprotein (LDL)	Asthma	0.0107380958671668	2.57528122381556e-05	0.550411983516288	0.00909370238265306	0.501824010292187	4.81834854904051e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.0594927020149782
Triglycerides	Asthma	0.0101741289801197	2.37412387841252e-05	0.564006866344848	0.0174520582388908	0.511627354055681	8.1841735954935e-07	0.215178534924254	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.113217622923811
Height	Asthma	0.0111412913894259	2.85504103922918e-05	0.567843279673661	0.0187818679833763	0.515716066637003	9.54845327583165e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.117315048246944	0.113217622923811
Body Fat	Asthma	0.0577180987794408	0.000245339422853319	0.551997608917386	0.0201308171697824	0.498989297579455	1.27608309008487e-06	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.117315048246944	0.113217622923811
Fasting Glucose	Asthma	0.0237169803472388	6.64163562851261e-05	0.540659077263383	0.0128598881342225	0.491362654500564	6.73522744909505e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.113217622923811
Systolic Blood Pressure	Asthma	0.0227040226657416	6.7349313377707e-05	0.543828575318887	0.000653605932404377	0.494730955932931	3.02895027948225e-08	0.341117017337116	0.17410612923824	0.00170947405067567	0.0300070731436605	0.113217622923811
Diastolic Blood Pressure	Asthma	0.0131256482537717	2.48347872481292e-05	0.550407652881564	0.00161327715981374	0.501310885247962	8.74092490610323e-08	0.087495845182035	0.0196294737926023	0.00170947405067567	0.117315048246944	0.0594927020149782
Smoking	Asthma	0.0156428635557568	2.23484169206145e-05	0.692501438776578	0.346246060038972	0.634018386911979	2.81561272743591e-05	0.70463566417336	0.649887592843394	0.00170947405067567	0.117315048246944	0.113217622923811
Alcohol	Asthma	0.00935329174104427	2.42695741320409e-05	0.539930251307877	0.0164457786550151	0.490746099737947	8.07376655198588e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.03666320206336
Acetate	Asthma	0.0145135841017985	2.23688144596057e-05	0.600627407551523	0.0657780399226877	0.550806713391779	4.05357433563847e-06	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.117315048246944	0.0594927020149782
Acetone	Asthma	0.0108081887388007	0.000126777646465515	0.55583636745021	0.0220220490907879	0.507154133971081	1.11101747091169e-06	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.117315048246944	0.113217622923811
Alanine	Asthma	0.0129139338881841	2.4113919119273e-05	0.540204912861934	0.00984769937323482	0.491292280294958	4.62053142746832e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.0505662911540824
Albumin	Asthma	0.0646271354241631	9.34298975431291e-05	0.645232924237261	0.167270376308934	0.587950976926061	1.24231449730727e-05	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.117315048246944	0.113217622923811
Apolipoprotein B	Asthma	0.00853187653390408	2.27422355989493e-05	0.557627574214711	0.0146003764704343	0.508552343029702	7.99150854380315e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.0594927020149782
3-hydroxybutyrate	Asthma	0.0248874941075263	2.7258167769828e-05	0.542920244892851	0.0148669001954292	0.493145762292355	8.39223991966342e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.0913188520467186
Citrate	Asthma	0.0259225935260656	0.000180244718455902	0.539928573321126	0.00816669634565037	0.49072953450774	4.13662505915902e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.0594927020149782
Creatinine	Asthma	0.0281747346651234	2.38455426022632e-05	0.550051241752361	0.0178450557853672	0.502132991186442	8.76257230664201e-07	0.0170072732825411	0.649887592843394	0.00170947405067567	0.549616978054084	0.0594927020149782
Glutamine	Asthma	0.00856443822475184	2.80472285394406e-05	0.543681453074065	0.00930514083464185	0.494730822895779	4.9606210394959e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.0594927020149782
Glucose	Asthma	0.0734995058795781	2.52629729333709e-05	0.542922034495501	0.0139297277589743	0.493393751064882	7.07276470057749e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.113217622923811
Glycine	Asthma	0.00877930006152128	2.30293169223295e-05	0.540915100332496	0.00607204753074542	0.491872254317946	2.91181677436469e-07	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.113217622923811
Glycoprotein acetylation	Asthma	0.00879482505335571	4.28075225430424e-05	0.564175918007901	0.0198936407674012	0.513452799969224	1.20425829230886e-06	0.0170072732825411	0.0196294737926023	0.00170947405067567	0.0300070731436605	0.0762742225307651
